Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,1,80000,Cultus VXR,480000,1,1,2004
4,0,1,113000,Cuore,555000,1,1,2005
1,0,2,569803,FX,100000,4,1,1987
1,0,1,66000,Swift,1050000,1,1,2012
3,0,1,124000,Civic 4,696000,1,1,2005
1,0,2,71000,Cultus VXR,780000,1,1,2011
1,0,1,60000,Alto,635000,1,1,2012
3,0,1,175000,Civic EXi,750000,1,1,2005
3,0,1,110000,City IDSI,935000,1,1,2008
3,0,1,124000,Accord,1150000,1,1,2007
1,0,2,77000,Swift,930000,1,1,2010
4,0,1,40000,Mira,1195000,1,1,2015
10,0,2,120000,AD Van,885000,1,1,2007
1,1,1,98552,Every Wagon,1320000,1,1,2012
1,0,2,100000,Mehran VXR,210000,1,1,2005
1,0,2,150000,Mehran VX,305000,1,1,2004
1,0,2,95000,Alto,450000,1,1,2007
2,0,1,95000,Duet,530000,1,1,2002
1,0,1,1234,Liana,460000,1,1,2008
4,0,1,72400,Mira,745000,1,1,2006
3,0,1,96000,Civic VTi,945000,1,1,2006
2,0,1,100000,Passo,850000,1,1,2013
2,0,1,90000,Corolla XLI,860000,1,1,2006
1,0,2,196000,Alto,375000,1,1,2004
6,0,2,122000,Lancer,690000,1,1,2005
2,0,1,24000,Corrolla Altis,2750000,1,1,2017
1,0,1,46600,Mehran VXR,600000,1,1,2015
3,0,4,32000,Vezel,3200000,1,1,2014
2,0,2,82000,Corolla XLI,835000,1,1,2006
1,1,2,103000,Alto,413000,1,1,2005
2,0,2,150000,Corolla XLI,1140000,1,1,2011
1,0,2,90000,Bolan,300000,1,1,1990
1,1,1,53000,Cultus VXR,950000,1,1,2014
1,0,2,78454,Alto,675000,1,1,2012
3,0,1,91000,Civic Prosmetic,850000,1,1,2005
1,0,2,60000,Bolan,300000,1,1,1994
2,0,1,125000,Vitz,935000,1,1,2007
8,0,2,5000,Santro,480000,1,1,2004
1,1,2,90000,Alto,320000,1,1,2001
2,1,1,51000,Vitz,1095000,1,1,2010
1,0,2,123654,Khyber,250000,1,1,1996
3,0,2,19000,City IDSI,750000,1,1,2005
4,0,1,149980,Cuore,485000,1,1,2005
3,0,1,60950,City Aspire,1469000,1,1,2013
4,0,2,100000,Charade,140000,1,1,1983
3,0,1,58000,Civic VTi Oriel Prosmatec,1775000,1,1,2013
1,1,1,85000,Cultus VXR,525000,1,1,2007
3,1,1,78000,City Aspire,1300000,1,1,2012
1,0,1,24323,Liana,520000,1,1,2006
1,0,2,57432,Baleno,550000,1,1,2003
3,1,1,54000,Civic Prosmetic,1060000,1,1,2007
1,0,1,90000,Alto,470000,1,1,2007
2,1,1,78000,Vitz,995000,1,1,2008
1,0,2,78000,Alto,370000,1,1,2007
2,0,1,19000,Corrolla Altis,2250000,1,1,2017
1,0,1,85000,Cultus VXR,435000,1,1,2006
2,0,1,90000,Vitz,825000,1,1,2003
2,0,1,84000,Corolla GLI,1575000,1,1,2013
1,0,2,10000,Khyber,235000,1,1,1996
1,0,2,40000,Bolan,480000,1,1,2007
1,0,2,2327,Alto,665000,1,1,2012
3,0,2,179000,City IDSI,760000,1,1,2004
2,0,1,67000,Corolla GLI,1750000,1,1,2014
1,1,2,55000,Mehran VXR,310000,1,1,2003
3,0,1,48288,Civic VTi Oriel Prosmatec,1370000,1,1,2010
1,1,1,51000,Cultus VXR,795000,1,1,2011
1,1,1,74000,Margalla,355000,1,1,1995
1,0,4,10000,Swift,190000,1,2,1990
2,0,2,72321,Corolla XLI,1285000,1,1,2013
2,0,1,150000,Corolla Axio,1600000,1,1,2014
1,0,1,52000,Cultus VXR,900000,1,1,2013
3,0,1,76000,City Vario,850000,1,1,2008
2,0,1,80000,Corolla Fielder,1425000,1,1,2006
3,0,1,140000,City IVTEC,1120000,1,1,2010
2,1,1,25000,Corolla GLI,1500000,1,1,2010
1,1,1,56000,Alto,590000,1,1,2012
1,0,2,80000,Alto,475000,1,1,2007
2,1,1,87000,Corolla GLI,1200000,1,1,2010
10,0,2,121222,AD Van,670000,1,1,2012
1,0,2,26000,Mehran VX,145000,1,1,1990
2,1,1,19000,Corolla XLI,1995000,1,1,2017
2,0,1,78500,Corolla GLI,1400000,1,1,2013
2,0,1,106000,Corolla XLI,1285000,1,1,2011
2,0,1,63000,Vitz,820000,1,1,2007
1,0,2,46393,Mehran VXR,185000,1,1,1994
1,0,2,65000,Cultus VXR,670000,1,1,2010
1,0,2,3500,Palette Sw,290000,1,1,2007
1,0,2,10000,Bolan,145000,1,1,1984
2,0,1,78000,Platz,770000,1,1,2003
4,0,2,86000,Cuore,420000,1,1,2004
2,0,1,94000,Vitz,995000,1,1,2008
1,0,2,120000,Cultus VXR,550000,1,1,2007
2,0,1,115000,Vitz,835000,1,1,2005
2,0,1,42500,Vitz,1390000,1,1,2013
2,0,1,100000,Corolla GLI,1070000,1,1,2009
